Date,LWSC,Runoff,P,E,Area,Runoff m3
2006/4/1,-1.501922957,130.424,18.0875,24.42787842,589.53,26289000.89
2006/5/1,0.637608173,110.708,20.025,55.31041992,590.88,5801649.951
2006/6/1,-0.55273541,103.541,40.85,73.43569336,589.7097,21585492.41
2006/7/1,0.741042444,803.836,101.475,60.6203418,591.2787,52556293.21
2006/8/1,-1.331468532,174.363,50.95,61.91381348,588.4596,31591951.46
2006/9/1,2.691566463,612.832,35.675,38.79119141,594.1584,20672253.17
2006/10/1,-1.673936121,1421.457,9.8875,13.0569519,590.6142,2975286.7
2006/11/1,1.410201544,896.774,2.8,1.448148499,593.6,2370696.144
2006/12/1,-0.465453918,612.682,6.0375,1.226191406,592.6145,2278801.376
2007/1/1,-0.177680108,152.583,1.6,3.900639343,592.2383,2063581.688
2007/2/1,-0.328297311,142.564,3.925,12.8378479,591.5432,1707163.152
2007/3/1,0.598312601,138.775,24.4875,36.25436279,592.81,12211971.71
2007/4/1,-1.223263798,126.976,31.4,54.86195313,590.22,6434467.412
2007/5/1,1.67667549,105.752,14.8375,44.16123047,593.77,31381123.78
2007/6/1,-0.129221896,414.052,74.6,69.45927734,593.4964,36386606.87
2007/7/1,-0.832999781,260.33,57.975,83.75000977,591.7327,23141035.54
2007/8/1,0.532945936,913.736,43.575,54.9483252,592.8611,44916318.73
2007/9/1,1.316638182,1048.741,77.55,19.73341797,595.6488,35202974.79
2007/10/1,-0.434754262,647.263,21.1875,21.8166333,594.7283,9067290.879
2007/11/1,0.532379173,1271.669,2.1625,2.055608215,595.8555,2894849.427
2007/12/1,0.156568197,1047.501,1.1375,0.188143654,596.187,2790772.168
2008/1/1,0.42648897,343.084,18.1,3.71743042,597.09,2578350.35
2008/2/1,0.19057396,173.501,2.1125,13.26326172,597.4935,2232377.707
2008/3/1,-0.275588372,170.39,4.2375,32.8389917,596.91,2022177.805
2008/4/1,-1.151473682,158.908,7.7,45.49267578,594.472,25050854.61
2008/5/1,-0.134653372,138.119,27.675,60.68704102,594.1869,13318265.23
2008/6/1,1.610363939,123.577,26.575,81.16744141,597.5965,10042891.62
2008/7/1,-0.218959327,774.993,109.6875,94.04410156,597.1329,75399979.76
2008/8/1,1.469475635,391.52,38.6125,70.78266602,600.2442,21047562.69
2008/9/1,-3.534827665,281.122,41.325,39.33311523,592.76,21051704.72
2008/10/1,3.058738862,2103.861,16.6375,19.63164063,599.2362,3258363.569
2008/11/1,0.568557541,612.966,4.4125,2.914783325,600.44,3452275.762
2008/12/1,-1.686121521,641.932,10.525,0.281242523,596.87,2372044.065
2009/1/1,-2.389856589,169.976,4.7625,2.881794739,591.81,2231521.103
2009/2/1,1.926996959,181.296,12.25,15.87720215,595.89,2119458.652
2009/3/1,0.321165546,145.459,6.15,29.45754395,596.57,5054853.401
2009/4/1,-0.198036336,137.925,11.0875,50.32677734,596.1507,21922409.45
2009/5/1,0.170784495,118.47,49.95,29.70126465,596.5123,27880432.25
