iter	RMSE
298	1.08895092
299	1.08657603
300	1.08437918
301	1.083889526
302	1.083493706
303	1.083112002
304	1.079559273
305	1.077481976
306	1.075445157
307	1.075221534
308	1.070434234
309	1.069516128
310	1.06802897
311	1.067275614
312	1.064357871
313	1.062922067
314	1.060811742
315	1.058468981
316	1.057439982
317	1.055956262
318	1.054455709
319	1.052536034
320	1.049955047
321	1.045945139
322	1.045734423
323	1.045048611
324	1.043134838
325	1.042921645
326	1.042556664
327	1.042139189
328	1.041907225
329	1.040065565
330	1.039198886
331	1.038590082
332	1.036840926
333	1.034050333
334	1.033529867
335	1.032334926
336	1.031036196
337	1.029677525
338	1.029323596
339	1.025397049
340	1.022975045
341	1.022636385
342	1.022105677
343	1.018427709
344	1.018111506
345	1.015570758
346	1.015240146
347	1.012091264
348	1.011085429
349	1.007400022
350	1.006883699
351	1.004310826
352	1.002583922
353	1.001422178
354	0.9995300545
355	0.9985728569
356	0.9967031428
357	0.9963704041
358	0.9954627188
359	0.992983586
360	0.9904736928
361	0.9886879474
362	0.988423234
363	0.984370289
364	0.9829421557
365	0.9811369139
366	0.9784755774
367	0.9780043705
368	0.9769630272
369	0.9745433862
370	0.9742126033
371	0.9724930297
372	0.9700516801
373	0.9677150287
374	0.9674584582
375	0.9651857013
376	0.9618090943
377	0.9614156486
378	0.9597817725
379	0.9560919475
380	0.9553442741
381	0.9532164752
382	0.9524944595
383	0.9521607168
384	0.9496460194
385	0.9494374599
386	0.9472663174
387	0.946682182
388	0.9445163356
389	0.9439565656
390	0.9436743805
391	0.9423052547
392	0.9407388923
393	0.938495829
394	0.9367416701
395	0.9362226342
396	0.9351033615
397	0.9348973922
398	0.9326247092
399	0.9322369944
400	0.9314838514
401	0.9308065114
402	0.9305806813
403	0.9300791112
404	0.9277293397
405	0.9257547836
406	0.9235433637
407	0.921085704
408	0.9181713365
409	0.91675548
410	0.9151687784
411	0.9148186702
412	0.91276392
413	0.9105988261
414	0.9087263577
415	0.9068970486
416	0.9062949192
417	0.9041821863
418	0.9032929148
419	0.9014437893
420	0.8993717622
421	0.8954341328
422	0.8938873248
423	0.8926103648
424	0.8920119137
425	0.8916758502
426	0.8899659968
427	0.8882935646
428	0.8864046902
429	0.8850572716
430	0.8831594669
431	0.8828370644
432	0.8808069531
433	0.8791245385
434	0.8773093099
435	0.8755872019
436	0.8751780829
437	0.8732553668
438	0.8713695179
439	0.8709869734
440	0.8695629595
441	0.8692102379
442	0.8683593339
443	0.8668585285
444	0.866536577
445	0.8658784543
446	0.8655700622
447	0.8650430555
448	0.8639467192
449	0.8633340145
450	0.8617162537
451	0.8609714106
452	0.8591632461
453	0.8580637512
454	0.8577677538
455	0.85555099
456	0.855116864
457	0.8532447059
458	0.8516555761
459	0.8486716491
460	0.8473970364
461	0.8471980523
462	0.8445109655
463	0.8432991224
464	0.8417645664
465	0.8405379946
466	0.8400911618
467	0.8397629571
468	0.8392705461
469	0.8383990244
470	0.8382070249
471	0.8370719716
472	0.8368068843
473	0.8350220329
474	0.8335332467
475	0.8316413396
476	0.8312869485
477	0.8300064761
478	0.8286703936
479	0.8276741577
480	0.8253995286
481	0.8240490804
482	0.8226459398
483	0.8220235578
484	0.8214567402
485	0.8212762689
486	0.819738516
487	0.8185276506
488	0.8179135022
489	0.8176582339
490	0.8174876371
491	0.8165002606
492	0.8153545042
493	0.8147686122
494	0.8134919412
495	0.8130911587
496	0.8127248662
497	0.8116845605
498	0.810430789
499	0.8087019868
